station_name,borough,latitude,longitude,routes
8 av,MANHATTAN,40.739777,-74.002578,L
6 av,MANHATTAN,40.737335,-73.996786,L
14 st-union sq,MANHATTAN,40.734789,-73.99073,L
3 av,MANHATTAN,40.732849,-73.986122,L
1 av,MANHATTAN,40.730953,-73.981628,L
bedford av,BROOKLYN,40.717304,-73.956872,L
lorimer st,BROOKLYN,40.714063,-73.950275,L
graham av,BROOKLYN,40.714565,-73.944053,L
grand st,BROOKLYN,40.711926,-73.94067,L
montrose av,BROOKLYN,40.707739,-73.93985,L
morgan av,BROOKLYN,40.706152,-73.933147,L
jefferson st,BROOKLYN,40.706607,-73.922913,L
dekalb av,BROOKLYN,40.703811,-73.918425,L
myrtle-wyckoff avs,BROOKLYN,40.699814,-73.911586,L
halsey st,QUEENS,40.695602,-73.904084,L
wilson av,BROOKLYN,40.688764,-73.904046,L
bushwick av-aberdeen st,BROOKLYN,40.682829,-73.905249,L
broadway junction,BROOKLYN,40.678856,-73.90324,L
atlantic av,BROOKLYN,40.675345,-73.903097,L
sutter av,BROOKLYN,40.669367,-73.901975,L
livonia av,BROOKLYN,40.664038,-73.900571,L
new lots av,BROOKLYN,40.658733,-73.899232,L
east 105 st,BROOKLYN,40.650573,-73.899485,L
canarsie-rockaway pkwy,BROOKLYN,40.646654,-73.90185,L
franklin av,BROOKLYN,40.680596,-73.955827,S
park pl,BROOKLYN,40.674772,-73.957624,S
botanic garden,BROOKLYN,40.670343,-73.959245,S
inwood-207 st,MANHATTAN,40.868072,-73.919899,A
dyckman st,MANHATTAN,40.865491,-73.927271,A
190 st,MANHATTAN,40.859022,-73.93418,A
181 st,MANHATTAN,40.851695,-73.937969,A
175 st,MANHATTAN,40.847391,-73.939704,A
168 st,MANHATTAN,40.840719,-73.939561,A C
163 st-amsterdam av,MANHATTAN,40.836013,-73.939892,C
155 st,MANHATTAN,40.830518,-73.941514,C
145 st,MANHATTAN,40.824783,-73.944216,A C
135 st,MANHATTAN,40.817894,-73.947649,C B
125 st,MANHATTAN,40.811109,-73.952343,A C B D
116 st,MANHATTAN,40.805085,-73.954882,C B
cathedral pkwy (110 st),MANHATTAN,40.800603,-73.958161,C B
103 st,MANHATTAN,40.796092,-73.961454,C B
96 st,MANHATTAN,40.791642,-73.964696,C B
86 st,MANHATTAN,40.785868,-73.968916,C B
81 st-museum of natural history,MANHATTAN,40.781433,-73.972143,C B
72 st,MANHATTAN,40.775594,-73.97641,C B
59 st-columbus circle,MANHATTAN,40.768296,-73.981736,A C B D
50 st,MANHATTAN,40.762456,-73.985984,C E
42 st-port authority bus terminal,MANHATTAN,40.757308,-73.989735,A C E
34 st-penn station,MANHATTAN,40.752287,-73.993391,A C E
23 st,MANHATTAN,40.745906,-73.998041,C E
14 st,MANHATTAN,40.740893,-74.00169,A C E
w 4 st-wash sq,MANHATTAN,40.732338,-74.000495,A C E
spring st,MANHATTAN,40.726227,-74.003739,C E
canal st,MANHATTAN,40.720824,-74.005229,A C E
chambers st,MANHATTAN,40.714111,-74.008585,A C
world trade center,MANHATTAN,40.712582,-74.009781,E
fulton st,MANHATTAN,40.710197,-74.007691,A C
high st,BROOKLYN,40.699337,-73.990531,A C
jay st-metrotech,BROOKLYN,40.692338,-73.987342,A C F
hoyt-schermerhorn sts,BROOKLYN,40.688484,-73.985001,A C G
lafayette av,BROOKLYN,40.686113,-73.973946,C
clinton-washington avs,BROOKLYN,40.683263,-73.965838,C
franklin av,BROOKLYN,40.68138,-73.956848,C
nostrand av,BROOKLYN,40.680438,-73.950426,A C
kingston-throop avs,BROOKLYN,40.679921,-73.940858,C
utica av,BROOKLYN,40.679364,-73.930729,A C
ralph av,BROOKLYN,40.678822,-73.920786,C
rockaway av,BROOKLYN,40.67834,-73.911946,C
broadway junction,BROOKLYN,40.678334,-73.905316,A C
liberty av,BROOKLYN,40.674542,-73.896548,C
van siclen av,BROOKLYN,40.67271,-73.890358,C
shepherd av,BROOKLYN,40.67413,-73.88075,C
euclid av,BROOKLYN,40.675377,-73.872106,A C
grant av,BROOKLYN,40.677044,-73.86505,A
80 st,QUEENS,40.679371,-73.858992,A
88 st,QUEENS,40.679843,-73.85147,A
rockaway blvd,QUEENS,40.680429,-73.843853,A
104 st,QUEENS,40.681711,-73.837683,A
111 st,QUEENS,40.684331,-73.832163,A
ozone park-lefferts blvd,QUEENS,40.685951,-73.825798,A
aqueduct racetrack,QUEENS,40.672097,-73.835919,A
aqueduct-n conduit av,QUEENS,40.668234,-73.834058,A
howard beach-jfk airport,QUEENS,40.660476,-73.830301,A
broad channel,QUEENS,40.608382,-73.815925,A S
beach 90 st,QUEENS,40.588034,-73.813641,A S
beach 98 st,QUEENS,40.585307,-73.820558,A S
beach 105 st,QUEENS,40.583209,-73.827559,A S
rockaway park-beach 116 st,QUEENS,40.580903,-73.835592,A S
beach 67 st,QUEENS,40.590927,-73.796924,A
beach 60 st,QUEENS,40.592374,-73.788522,A
beach 44 st,QUEENS,40.592943,-73.776013,A
beach 36 st,QUEENS,40.595398,-73.768175,A
beach 25 st,QUEENS,40.600066,-73.761353,A
far rockaway-mott av,QUEENS,40.603995,-73.755405,A
norwood-205 st,BRONX,40.874811,-73.878855,D
bedford park blvd,BRONX,40.873244,-73.887138,B D
kingsbridge rd,BRONX,40.866978,-73.893509,B D
fordham rd,BRONX,40.861296,-73.897749,B D
182-183 sts,BRONX,40.856093,-73.900741,B D
tremont av,BRONX,40.85041,-73.905227,B D
174-175 sts,BRONX,40.8459,-73.910136,B D
170 st,BRONX,40.839306,-73.9134,B D
167 st,BRONX,40.833771,-73.91844,B D
161 st-yankee stadium,BRONX,40.827905,-73.925651,B D
155 st,MANHATTAN,40.830135,-73.938209,B D
21 st-queensbridge,QUEENS,40.754203,-73.942836,M
roosevelt island,MANHATTAN,40.759145,-73.95326,M
lexington av/63 st,MANHATTAN,40.764629,-73.966113,M Q
57 st,MANHATTAN,40.763972,-73.97745,M
47-50 sts-rockefeller ctr,MANHATTAN,40.758663,-73.981329,B D F M
42 st-bryant pk,MANHATTAN,40.754222,-73.984569,B D F M
34 st-herald sq,MANHATTAN,40.749719,-73.987823,B D F M
23 st,MANHATTAN,40.742878,-73.992821,F M
14 st,MANHATTAN,40.738228,-73.996209,F M
broadway-lafayette st,MANHATTAN,40.725297,-73.996204,B D F M
grand st,MANHATTAN,40.718267,-73.993753,B D
2 av,MANHATTAN,40.723402,-73.989938,F
delancey st-essex st,MANHATTAN,40.718611,-73.988114,F
east broadway,MANHATTAN,40.713715,-73.990173,F
york st,BROOKLYN,40.701397,-73.986751,F
bergen st,BROOKLYN,40.686145,-73.990862,F G
carroll st,BROOKLYN,40.680303,-73.995048,F G
smith-9 sts,BROOKLYN,40.67358,-73.995959,F G
4 av-9 st,BROOKLYN,40.670272,-73.989779,F G
7 av,BROOKLYN,40.666271,-73.980305,F G
15 st-prospect park,BROOKLYN,40.660365,-73.979493,F G
fort hamilton pkwy,BROOKLYN,40.650782,-73.975776,F G
church av,BROOKLYN,40.644041,-73.979678,F G
ditmas av,BROOKLYN,40.636119,-73.978172,F
18 av,BROOKLYN,40.629755,-73.976971,F
avenue i,BROOKLYN,40.625322,-73.976127,F
bay pkwy,BROOKLYN,40.620769,-73.975264,F
avenue n,BROOKLYN,40.61514,-73.974197,F
avenue p,BROOKLYN,40.608944,-73.973022,F
kings hwy,BROOKLYN,40.603217,-73.972361,F
avenue u,BROOKLYN,40.596063,-73.973357,F
avenue x,BROOKLYN,40.58962,-73.97425,F
neptune av,BROOKLYN,40.581011,-73.974574,F
jamaica-179 st,QUEENS,40.712646,-73.783817,F
169 st,QUEENS,40.71047,-73.793604,F
parsons blvd,QUEENS,40.707564,-73.803326,F
sutphin blvd,QUEENS,40.70546,-73.810708,F
briarwood,QUEENS,40.709179,-73.820574,E F
kew gardens-union tpke,QUEENS,40.714441,-73.831008,E F
75 av,QUEENS,40.718331,-73.837324,E F
forest hills-71 av,QUEENS,40.721691,-73.844521,E F M R
67 av,QUEENS,40.726523,-73.852719,M R
63 dr-rego park,QUEENS,40.729846,-73.861604,M R
woodhaven blvd,QUEENS,40.733106,-73.869229,M R
grand av-newtown,QUEENS,40.737015,-73.877223,M R
elmhurst av,QUEENS,40.742454,-73.882017,M R
jackson hts-roosevelt av,QUEENS,40.746644,-73.891338,E F M R
65 st,QUEENS,40.749669,-73.898453,M R
northern blvd,QUEENS,40.752885,-73.906006,M R
46 st,QUEENS,40.756312,-73.913333,M R
steinway st,QUEENS,40.756879,-73.92074,M R
36 st,QUEENS,40.752039,-73.928781,M R
queens plaza,QUEENS,40.748973,-73.937243,E F R
court sq-23 st,QUEENS,40.747846,-73.946,E F
lexington av/53 st,MANHATTAN,40.757552,-73.969055,E F
5 av/53 st,MANHATTAN,40.760167,-73.975224,E F
7 av,MANHATTAN,40.762862,-73.981637,E B D
jamaica center-parsons/archer,QUEENS,40.702147,-73.801109,E J Z
sutphin blvd-archer av-jfk airport,QUEENS,40.700486,-73.807969,E J Z
jamaica-van wyck,QUEENS,40.702566,-73.816859,E
court sq,QUEENS,40.746554,-73.943832,G
21 st,QUEENS,40.744065,-73.949724,G
greenpoint av,BROOKLYN,40.731352,-73.954449,G
nassau av,BROOKLYN,40.724635,-73.951277,G
metropolitan av,BROOKLYN,40.712792,-73.951418,G
broadway,BROOKLYN,40.706092,-73.950308,G
flushing av,BROOKLYN,40.700377,-73.950234,G
myrtle-willoughby avs,BROOKLYN,40.694568,-73.949046,G
bedford-nostrand avs,BROOKLYN,40.689627,-73.953522,G
classon av,BROOKLYN,40.688873,-73.96007,G
clinton-washington avs,BROOKLYN,40.688089,-73.966839,G
fulton st,BROOKLYN,40.687119,-73.975375,G
van cortlandt park-242 st,BRONX,40.889248,-73.898583,1
238 st,BRONX,40.884667,-73.90087,1
231 st,BRONX,40.878856,-73.904834,1
marble hill-225 st,MANHATTAN,40.874561,-73.909831,1
215 st,MANHATTAN,40.869444,-73.915279,1
207 st,MANHATTAN,40.864621,-73.918822,1
dyckman st,MANHATTAN,40.860531,-73.925536,1
191 st,MANHATTAN,40.855225,-73.929412,1
181 st,MANHATTAN,40.849505,-73.933596,1
168 st-washington hts,MANHATTAN,40.840556,-73.940133,1
157 st,MANHATTAN,40.834041,-73.94489,1
145 st,MANHATTAN,40.826551,-73.95036,1
137 st-city college,MANHATTAN,40.822008,-73.953676,1
125 st,MANHATTAN,40.815581,-73.958372,1
116 st-columbia university,MANHATTAN,40.807722,-73.96411,1
cathedral pkwy (110 st),MANHATTAN,40.803967,-73.966847,1
103 st,MANHATTAN,40.799446,-73.968379,1
96 st,MANHATTAN,40.793919,-73.972323,1 2 3
86 st,MANHATTAN,40.788644,-73.976218,1
79 st,MANHATTAN,40.783934,-73.979917,1
72 st,MANHATTAN,40.778453,-73.98197,1 2 3
66 st-lincoln center,MANHATTAN,40.77344,-73.982209,1
59 st-columbus circle,MANHATTAN,40.768247,-73.981929,1
50 st,MANHATTAN,40.761728,-73.983849,1
times sq-42 st,MANHATTAN,40.75529,-73.987495,1 2 3
34 st-penn station,MANHATTAN,40.750373,-73.991057,1 2 3
28 st,MANHATTAN,40.747215,-73.993365,1
23 st,MANHATTAN,40.744081,-73.995657,1
18 st,MANHATTAN,40.74104,-73.997871,1
14 st,MANHATTAN,40.737826,-74.000201,1 2 3
christopher st-stonewall,MANHATTAN,40.733422,-74.002906,1
houston st,MANHATTAN,40.728251,-74.005367,1
canal st,MANHATTAN,40.722854,-74.006277,1
franklin st,MANHATTAN,40.719318,-74.006886,1
chambers st,MANHATTAN,40.715478,-74.009266,1 2 3
wtc cortlandt,MANHATTAN,40.711835,-74.012188,1
rector st,MANHATTAN,40.707513,-74.013783,1
south ferry,MANHATTAN,40.702068,-74.013664,1
park place,MANHATTAN,40.713051,-74.008811,2 3
fulton st,MANHATTAN,40.709416,-74.006571,2 3
wall st,MANHATTAN,40.706821,-74.0091,2 3
clark st,BROOKLYN,40.697466,-73.993086,2 3
borough hall,BROOKLYN,40.693219,-73.989998,2 3
hoyt st,BROOKLYN,40.690545,-73.985065,2 3
nevins st,BROOKLYN,40.688246,-73.980492,2 3 4 5
atlantic av-barclays ctr,BROOKLYN,40.684359,-73.977666,2 3 4 5
bergen st,BROOKLYN,40.680829,-73.975098,2 3
grand army plaza,BROOKLYN,40.675235,-73.971046,2 3
eastern pkwy-brooklyn museum,BROOKLYN,40.671987,-73.964375,2 3
franklin av-medgar evers college,BROOKLYN,40.670682,-73.958131,2 3 4 5
nostrand av,BROOKLYN,40.669847,-73.950466,3
kingston av,BROOKLYN,40.669399,-73.942161,3
crown hts-utica av,BROOKLYN,40.668897,-73.932942,3 4
sutter av-rutland rd,BROOKLYN,40.664717,-73.92261,3
saratoga av,BROOKLYN,40.661453,-73.916327,3
rockaway av,BROOKLYN,40.662549,-73.908946,3
junius st,BROOKLYN,40.663515,-73.902447,3
pennsylvania av,BROOKLYN,40.664635,-73.894895,3
van siclen av,BROOKLYN,40.665449,-73.889395,3
new lots av,BROOKLYN,40.666235,-73.884079,3
president st-medgar evers college,BROOKLYN,40.667883,-73.950683,2 5
sterling st,BROOKLYN,40.662742,-73.95085,2 5
winthrop st,BROOKLYN,40.656652,-73.9502,2 5
church av,BROOKLYN,40.650843,-73.949575,2 5
beverly rd,BROOKLYN,40.645098,-73.948959,2 5
newkirk av-little haiti,BROOKLYN,40.639967,-73.948411,2 5
flatbush av-brooklyn college,BROOKLYN,40.632836,-73.947642,2 5
pelham bay park,BRONX,40.852462,-73.828121,6
buhre av,BRONX,40.84681,-73.832569,6
middletown rd,BRONX,40.843863,-73.836322,6
westchester sq-e tremont av,BRONX,40.839892,-73.842952,6
zerega av,BRONX,40.836488,-73.847036,6
castle hill av,BRONX,40.834255,-73.851222,6
parkchester,BRONX,40.833226,-73.860816,6
st lawrence av,BRONX,40.831509,-73.867618,6
morrison av-soundview,BRONX,40.829521,-73.874516,6
elder av,BRONX,40.828584,-73.879159,6
whitlock av,BRONX,40.826525,-73.886283,6
hunts point av,BRONX,40.820948,-73.890549,6
longwood av,BRONX,40.816104,-73.896435,6
e 149 st,BRONX,40.812118,-73.904098,6
e 143 st-st mary's st,BRONX,40.808719,-73.907657,6
cypress av,BRONX,40.805368,-73.914042,6
brook av,BRONX,40.807566,-73.91924,6
3 av-138 st,BRONX,40.810476,-73.926138,6
woodlawn,BRONX,40.886037,-73.878751,4
mosholu pkwy,BRONX,40.87975,-73.884655,4
bedford park blvd-lehman college,BRONX,40.873412,-73.890064,4
kingsbridge rd,BRONX,40.86776,-73.897174,4
fordham rd,BRONX,40.862803,-73.901034,4
183 st,BRONX,40.858407,-73.903879,4
burnside av,BRONX,40.853453,-73.907684,4
176 st,BRONX,40.84848,-73.911794,4
mt eden av,BRONX,40.844434,-73.914685,4
170 st,BRONX,40.840075,-73.917791,4
167 st,BRONX,40.835537,-73.9214,4
161 st-yankee stadium,BRONX,40.827994,-73.925831,4
149 st-grand concourse,BRONX,40.818375,-73.927351,4
138 st-grand concourse,BRONX,40.813224,-73.929849,4 5
125 st,MANHATTAN,40.804138,-73.937594,4 5 6
116 st,MANHATTAN,40.798629,-73.941617,6
110 st,MANHATTAN,40.79502,-73.94425,6
103 st,MANHATTAN,40.7906,-73.947478,6
96 st,MANHATTAN,40.785672,-73.95107,6
86 st,MANHATTAN,40.779492,-73.955589,4 5 6
77 st,MANHATTAN,40.77362,-73.959874,6
68 st-hunter college,MANHATTAN,40.768141,-73.96387,6
59 st,MANHATTAN,40.762526,-73.967967,4 5 6
51 st,MANHATTAN,40.757107,-73.97192,6
grand central-42 st,MANHATTAN,40.751776,-73.976848,4 5 6
33 st,MANHATTAN,40.746081,-73.982076,6
28 st,MANHATTAN,40.74307,-73.984264,6
23 st-baruch college,MANHATTAN,40.739864,-73.986599,6
14 st-union sq,MANHATTAN,40.734673,-73.989951,4 5 6
astor pl,MANHATTAN,40.730054,-73.99107,6
bleecker st,MANHATTAN,40.725915,-73.994659,6
spring st,MANHATTAN,40.722301,-73.997141,6
canal st,MANHATTAN,40.718803,-74.000193,6
brooklyn bridge-city hall,MANHATTAN,40.713065,-74.004131,4 5 6
fulton st,MANHATTAN,40.710368,-74.009509,4 5
wall st,MANHATTAN,40.707557,-74.011862,4 5
bowling green,MANHATTAN,40.704817,-74.014065,4 5
borough hall,BROOKLYN,40.692404,-73.990151,4 5
wakefield-241 st,BRONX,40.903125,-73.85062,2
nereid av,BRONX,40.898379,-73.854376,2 5
233 st,BRONX,40.893193,-73.857473,2 5
225 st,BRONX,40.888022,-73.860341,2 5
219 st,BRONX,40.883895,-73.862633,2 5
gun hill rd,BRONX,40.87785,-73.866256,2 5
burke av,BRONX,40.871356,-73.867164,2 5
allerton av,BRONX,40.865462,-73.867352,2 5
pelham pkwy,BRONX,40.857192,-73.867615,2 5
bronx park east,BRONX,40.848828,-73.868457,2 5
e 180 st,BRONX,40.841894,-73.873488,2 5
west farms sq-e tremont av,BRONX,40.840295,-73.880049,2 5
174 st,BRONX,40.837288,-73.887734,2 5
freeman st,BRONX,40.829993,-73.891865,2 5
simpson st,BRONX,40.824073,-73.893064,2 5
intervale av,BRONX,40.822181,-73.896736,2 5
prospect av,BRONX,40.819585,-73.90177,2 5
jackson av,BRONX,40.81649,-73.907807,2 5
3 av-149 st,BRONX,40.816109,-73.917757,2 5
149 st-grand concourse,BRONX,40.81841,-73.926718,2 5
harlem-148 st,MANHATTAN,40.82388,-73.93647,3
145 st,MANHATTAN,40.820421,-73.936245,3
135 st,MANHATTAN,40.814229,-73.94077,2 3
125 st,MANHATTAN,40.807754,-73.945495,2 3
116 st,MANHATTAN,40.802098,-73.949625,2 3
110 st-malcolm x plaza,MANHATTAN,40.799075,-73.951822,2 3
eastchester-dyre av,BRONX,40.8883,-73.830834,5
baychester av,BRONX,40.878663,-73.838591,5
gun hill rd,BRONX,40.869526,-73.846384,5
pelham pkwy,BRONX,40.858985,-73.855359,5
morris park,BRONX,40.854364,-73.860495,5
flushing-main st,QUEENS,40.7596,-73.83003,7
mets-willets point,QUEENS,40.754622,-73.845625,7
111 st,QUEENS,40.75173,-73.855334,7
103 st-corona plaza,QUEENS,40.749865,-73.8627,7
junction blvd,QUEENS,40.749145,-73.869527,7
90 st-elmhurst av,QUEENS,40.748408,-73.876613,7
82 st-jackson hts,QUEENS,40.747659,-73.883697,7
74 st-broadway,QUEENS,40.746848,-73.891394,7
69 st,QUEENS,40.746325,-73.896403,7
61 st-woodside,QUEENS,40.74563,-73.902984,7
52 st,QUEENS,40.744149,-73.912549,7
46 st-bliss st,QUEENS,40.743132,-73.918435,7
40 st-lowery st,QUEENS,40.743781,-73.924016,7
33 st-rawson st,QUEENS,40.744587,-73.930997,7
queensboro plaza,QUEENS,40.750582,-73.940202,N W
court sq,QUEENS,40.747023,-73.945264,7
hunters point av,QUEENS,40.742216,-73.948916,7
vernon blvd-jackson av,QUEENS,40.742626,-73.953581,7
grand central-42 st,MANHATTAN,40.751431,-73.976041,7
5 av,MANHATTAN,40.753821,-73.981963,7
times sq-42 st,MANHATTAN,40.755477,-73.987691,7
times sq-42 st,MANHATTAN,40.755983,-73.986229,S
grand central-42 st,MANHATTAN,40.752769,-73.979189,S
34 st-hudson yards,MANHATTAN,40.755882,-74.00191,7
96 st,MANHATTAN,40.784318,-73.947152,Q
86 st,MANHATTAN,40.777891,-73.951787,Q
72 st,MANHATTAN,40.768799,-73.958424,Q
st george,STATEN ISLAND,40.643748,-74.073643,SIR
tompkinsville,STATEN ISLAND,40.636949,-74.074835,SIR
stapleton,STATEN ISLAND,40.627915,-74.075162,SIR
clifton,STATEN ISLAND,40.621319,-74.071402,SIR
grasmere,STATEN ISLAND,40.603117,-74.084087,SIR
old town,STATEN ISLAND,40.596612,-74.087368,SIR
dongan hills,STATEN ISLAND,40.588849,-74.09609,SIR
jefferson av,STATEN ISLAND,40.583591,-74.103338,SIR
grant city,STATEN ISLAND,40.578965,-74.109704,SIR
new dorp,STATEN ISLAND,40.57348,-74.11721,SIR
oakwood heights,STATEN ISLAND,40.56511,-74.12632,SIR
bay terrace,STATEN ISLAND,40.5564,-74.136907,SIR
great kills,STATEN ISLAND,40.551231,-74.151399,SIR
eltingville,STATEN ISLAND,40.544601,-74.16457,SIR
annadale,STATEN ISLAND,40.54046,-74.178217,SIR
huguenot,STATEN ISLAND,40.533674,-74.191794,SIR
prince's bay,STATEN ISLAND,40.525507,-74.200064,SIR
pleasant plains,STATEN ISLAND,40.52241,-74.217847,SIR
richmond valley,STATEN ISLAND,40.519631,-74.229141,SIR
tottenville,STATEN ISLAND,40.512764,-74.251961,SIR
arthur kill,STATEN ISLAND,40.516578,-74.242096,SIR
